dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
05062020,5,6,2020,787,6,Afghanistan,AF,AFG,37172386,Asia
04062020,4,6,2020,758,24,Afghanistan,AF,AFG,37172386,Asia
03062020,3,6,2020,759,5,Afghanistan,AF,AFG,37172386,Asia
02062020,2,6,2020,545,8,Afghanistan,AF,AFG,37172386,Asia
01062020,1,6,2020,680,8,Afghanistan,AF,AFG,37172386,Asia
31052020,31,5,2020,866,3,Afghanistan,AF,AFG,37172386,Asia
30052020,30,5,2020,623,11,Afghanistan,AF,AFG,37172386,Asia
29052020,29,5,2020,580,8,Afghanistan,AF,AFG,37172386,Asia
28052020,28,5,2020,625,7,Afghanistan,AF,AFG,37172386,Asia
27052020,27,5,2020,658,1,Afghanistan,AF,AFG,37172386,Asia
26052020,26,5,2020,591,1,Afghanistan,AF,AFG,37172386,Asia
25052020,25,5,2020,584,2,Afghanistan,AF,AFG,37172386,Asia
24052020,24,5,2020,782,11,Afghanistan,AF,AFG,37172386,Asia
23052020,23,5,2020,540,12,Afghanistan,AF,AFG,37172386,Asia
22052020,22,5,2020,531,6,Afghanistan,AF,AFG,37172386,Asia
21052020,21,5,2020,492,9,Afghanistan,AF,AFG,37172386,Asia
20052020,20,5,2020,581,5,Afghanistan,AF,AFG,37172386,Asia
19052020,19,5,2020,408,4,Afghanistan,AF,AFG,37172386,Asia
18052020,18,5,2020,262,1,Afghanistan,AF,AFG,37172386,Asia
17052020,17,5,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
16052020,16,5,2020,1063,32,Afghanistan,AF,AFG,37172386,Asia
15052020,15,5,2020,113,6,Afghanistan,AF,AFG,37172386,Asia
14052020,14,5,2020,259,3,Afghanistan,AF,AFG,37172386,Asia
13052020,13,5,2020,280,5,Afghanistan,AF,AFG,37172386,Asia
12052020,12,5,2020,285,2,Afghanistan,AF,AFG,37172386,Asia
11052020,11,5,2020,369,5,Afghanistan,AF,AFG,37172386,Asia
10052020,10,5,2020,255,6,Afghanistan,AF,AFG,37172386,Asia
09052020,9,5,2020,215,3,Afghanistan,AF,AFG,37172386,Asia
08052020,8,5,2020,171,2,Afghanistan,AF,AFG,37172386,Asia
07052020,7,5,2020,168,9,Afghanistan,AF,AFG,37172386,Asia
06052020,6,5,2020,330,5,Afghanistan,AF,AFG,37172386,Asia
05052020,5,5,2020,190,5,Afghanistan,AF,AFG,37172386,Asia
04052020,4,5,2020,235,13,Afghanistan,AF,AFG,37172386,Asia
03052020,3,5,2020,134,4,Afghanistan,AF,AFG,37172386,Asia
02052020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386,Asia
01052020,1,5,2020,222,4,Afghanistan,AF,AFG,37172386,Asia
30042020,30,4,2020,122,0,Afghanistan,AF,AFG,37172386,Asia
29042020,29,4,2020,124,3,Afghanistan,AF,AFG,37172386,Asia
28042020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386,Asia
27042020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386,Asia
26042020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386,Asia
25042020,25,4,2020,70,1,Afghanistan,AF,AFG,37172386,Asia
24042020,24,4,2020,105,2,Afghanistan,AF,AFG,37172386,Asia
23042020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386,Asia
22042020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386,Asia
21042020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386,Asia
20042020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386,Asia
19042020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386,Asia
18042020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386,Asia
17042020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386,Asia
16042020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386,Asia
15042020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386,Asia
14042020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386,Asia
13042020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386,Asia
12042020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386,Asia
11042020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386,Asia
10042020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386,Asia
09042020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386,Asia
08042020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386,Asia
07042020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386,Asia
06042020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386,Asia
